Package,Total Classes,Total Methods,Total Lines,Instruction Coverage (%),Branch Coverage (%),Average Coverage (%),Status,Priority
com/imobile3/pos/data/async/order/product,6,15,56,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/data/usecase,2,3,3,50.0,0,25.0,Poor,High
com/imobile3/pos/data/peripherals/accessorydisplay,2,67,138,50.0,79.41,64.7,Fair,High
com/imobile3/pos/ui/order/sharefairfunds/addfunds,2,2,21,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/data/module/receipt,14,308,3570,69.15,49.68,59.42,Excellent,Low
com/imobile3/pos/ui/order/invoice/create,26,116,260,80.28,72.22,76.25,Fair,High
com/imobile3/pos/ui/order/invoice/dialog,6,8,13,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/order/refund/contract,10,48,150,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/data/module/order/srm,7,48,268,19.39,24.77,22.08,Poor,High
com/imobile3/pos/data/module/timeclock,3,9,19,29.73,27.27,28.5,Poor,High
com/imobile3/pos/ui/register/about/usecase,6,4,37,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/register/management/reports/usecase,5,55,510,76.82,68.18,72.5,Fair,High
com/imobile3/pos/data/async/auth,2,6,78,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/receipt/printed,12,44,249,7.33,2.08,4.71,Critical,Immediate
com/imobile3/pos/data/module/funds,8,20,81,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/data/module/account/repository,18,118,257,56.56,44.03,50.3,Poor,High
com/imobile3/pos/ui/order/contract,16,77,235,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/order/receipt,21,38,96,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/data/datasources/extensions,1,7,39,53.98,48.0,50.99,Poor,High
com/imobile3/pos/data,14,75,106,55.45,65.22,60.34,Fair,High
com/imobile3/pos/ui/launch,37,82,209,28.36,18.68,23.52,Poor,High
com/imobile3/pos/ui/inventory/items/tags,5,9,23,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/transaction/usecase,2,2,20,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/data/module/order/notification,15,86,510,80.04,57.62,68.83,Fair,High
com/imobile3/pos/data/module/order/cart/transaction,11,95,1420,41.41,35.06,38.23,Poor,High
com/imobile3/pos/ui/order/state,18,187,1248,31.78,28.57,30.18,Poor,High
com/imobile3/pos/ui/loyalty,28,67,223,73.82,61.54,67.68,Fair,High
com/imobile3/pos/ui/funds/views,4,37,125,0.0,0.0,0.0,Critical,Immediate
dagger/hilt/internal/aggregatedroot/codegen,1,1,1,0.0,0,0.0,Critical,Immediate
com/imobile3/pos/ui/inventory/itemlibrary/categories/model,3,23,37,35.86,0.0,17.93,Critical,Immediate
com/imobile3/pos/ui/inventory/items/assnsummary,4,6,44,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/common,9,15,30,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/data/module/receipt/fiscal/austria,4,8,30,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/data/async/transaction,16,67,538,21.27,13.18,17.23,Critical,Immediate
com/imobile3/pos/ui/accessorydisplay/register,11,28,121,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/app/extensions,5,77,160,52.86,43.27,48.06,Poor,High
com/imobile3/pos/ui/order/choreography,14,29,347,18.22,22.66,20.44,Poor,High
com/imobile3/pos/data/file/log,1,3,14,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/contract,10,15,18,0.0,0,0.0,Critical,Immediate
com/imobile3/pos/ui/customer/module,18,23,23,27.69,0.0,13.85,Critical,Immediate
com/imobile3/pos/data/peripherals/bluetooth,6,34,222,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/register/management/reports,26,55,171,60.65,51.79,56.22,Poor,High
com/imobile3/pos/ui/order/checkout,142,531,2309,36.96,29.25,33.11,Poor,High
com/imobile3/pos/ui/register/about/credits,1,1,1,0.0,0,0.0,Critical,Immediate
com/imobile3/pos/ui/order/state/current,18,52,150,18.69,9.26,13.98,Critical,Immediate
com/imobile3/pos/ui/settings/legal,2,1,1,0.0,0,0.0,Critical,Immediate
com/imobile3/pos/data/flavor,11,355,701,34.93,37.45,36.19,Poor,High
com/imobile3/pos/ui/order/split/usecases,6,6,51,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/data/module/order/tax,10,22,118,66.05,50.0,58.02,Poor,High
com/imobile3/pos/ui/order/sharefairfunds/donation,8,4,21,0.0,0,0.0,Critical,Immediate
com/imobile3/pos/data/audit,30,318,3246,82.42,52.43,67.42,Fair,High
com/imobile3/pos/data/utils,4,10,83,83.41,60.26,71.83,Fair,High
com/imobile3/pos/ui/search/views,25,121,393,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/order/invoice/contracts,12,28,64,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/order/checkout/receipt/usecase,4,13,69,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/order/checkout/receipt,50,120,358,21.84,16.58,19.21,Critical,Immediate
com/imobile3/pos/ui/receipt/visual,9,109,567,89.52,68.82,79.17,Excellent,Low
com/imobile3/pos/ui/customer/summary,1,2,46,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/data/async/user,8,16,67,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/data/module/register,9,21,78,66.75,50.0,58.38,Poor,High
com/imobile3/pos/ui/funds/editaccountinfo/contactinfo,1,28,209,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/data/async/domain,1,6,31,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/order/state/open,23,40,151,8.72,0.0,4.36,Critical,Immediate
